MM/DD/YYYY-hr:mn:se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
07/30/2025-15:50:55.172883,0.05,0.0,0.1,0.05,9.7,0.03,0.06,6.31,0.0,0.0,1.32,0.0,0.0,11.45,4.87,2.94,5.69,0.0,1.84,0.0,0.13,0.0,2.45,0.0,0.0,9.73,0.0,0.18,1.48,0.0,1.32,0.22,0.0,0.09,1.92,2.35
07/30/2025-15:50:55.603379,0.05,0.0,0.1,0.05,9.7,0.03,0.06,6.31,0.0,0.0,1.32,0.0,0.0,11.45,4.87,2.94,5.69,0.0,1.84,0.0,0.13,0.0,2.45,0.0,0.0,9.73,0.0,0.18,1.48,0.0,1.32,0.22,0.0,0.09,1.92,2.35
07/30/2025-15:50:56.051111,0.05,0.0,0.15,0.01,10.29,0.02,0.06,6.4,0.0,0.0,1.27,0.0,0.0,11.29,5.04,3.01,5.76,0.0,3.52,0.0,0.25,0.0,2.5,0.0,0.0,10.82,0.19,0.17,1.54,0.0,1.39,0.2,0.0,0.12,1.99,2.44
07/30/2025-15:50:56.489464,0.05,0.0,0.15,0.01,10.29,0.02,0.06,6.4,0.0,0.0,1.27,0.0,0.0,11.29,5.04,3.01,5.76,0.0,3.52,0.0,0.25,0.0,2.5,0.0,0.0,10.82,0.19,0.17,1.54,0.0,1.39,0.2,0.0,0.12,1.99,2.44
07/30/2025-15:50:56.949769,0.05,0.0,0.15,0.01,10.29,0.02,0.06,6.4,0.0,0.0,1.27,0.0,0.0,11.29,5.04,3.01,5.76,0.0,3.52,0.0,0.25,0.0,2.5,0.0,0.0,10.82,0.19,0.17,1.54,0.0,1.39,0.2,0.0,0.12,1.99,2.44
07/30/2025-15:50:57.407591,0.05,0.0,0.15,0.01,10.29,0.02,0.06,6.4,0.0,0.0,1.27,0.0,0.0,11.29,5.04,3.01,5.76,0.0,3.52,0.0,0.25,0.0,2.5,0.0,0.0,10.82,0.19,0.17,1.54,0.0,1.39,0.2,0.0,0.12,1.99,2.44
07/30/2025-15:50:57.830946,0.05,0.0,0.1,0.04,9.95,0.01,0.0,7.17,0.0,0.0,1.65,0.0,0.0,10.95,5.42,3.16,5.96,0.0,4.52,0.0,0.34,0.0,2.56,0.0,0.25,9.27,0.0,0.23,1.61,0.0,1.08,0.26,0.0,0.0,2.08,2.5
07/30/2025-15:50:58.420747,0.05,0.0,0.1,0.04,9.95,0.01,0.0,7.17,0.0,0.0,1.65,0.0,0.0,10.95,5.42,3.16,5.96,0.0,4.52,0.0,0.34,0.0,2.56,0.0,0.25,9.27,0.0,0.23,1.61,0.0,1.08,0.26,0.0,0.0,2.08,2.5
07/30/2025-15:50:58.851314,0.05,0.0,0.1,0.04,9.95,0.01,0.0,7.17,0.0,0.0,1.65,0.0,0.0,10.95,5.42,3.16,5.96,0.0,4.52,0.0,0.34,0.0,2.56,0.0,0.25,9.27,0.0,0.23,1.61,0.0,1.08,0.26,0.0,0.0,2.08,2.5
07/30/2025-15:50:59.293290,0.05,0.0,0.1,0.04,9.95,0.01,0.0,7.17,0.0,0.0,1.65,0.0,0.0,10.95,5.42,3.16,5.96,0.0,4.52,0.0,0.34,0.0,2.56,0.0,0.25,9.27,0.0,0.23,1.61,0.0,1.08,0.26,0.0,0.0,2.08,2.5
